Mutation,Supression,Addition,Nb de générations
3.0,1.0,1.0,301
3.0,1.0,1.0526315789473684,190
3.0,1.0,1.1052631578947367,122
3.0,1.0,1.1578947368421053,301
3.0,1.0,1.2105263157894737,42
3.0,1.0,1.263157894736842,178
3.0,1.0,1.3157894736842106,170
3.0,1.0,1.368421052631579,206
3.0,1.0,1.4210526315789473,301
3.0,1.0,1.4736842105263157,134
3.0,1.0,1.526315789473684,188
3.0,1.0,1.5789473684210527,186
3.0,1.0,1.631578947368421,102
3.0,1.0,1.6842105263157894,301
3.0,1.0,1.736842105263158,249
3.0,1.0,1.7894736842105263,146
3.0,1.0,1.8421052631578947,292
3.0,1.0,1.894736842105263,301
3.0,1.0,1.9473684210526314,301
3.0,1.0,2.0,301
3.0,1.1052631578947367,1.0,301
3.0,1.1052631578947367,1.0526315789473684,147
3.0,1.1052631578947367,1.1052631578947367,134
3.0,1.1052631578947367,1.1578947368421053,148
3.0,1.1052631578947367,1.2105263157894737,205
3.0,1.1052631578947367,1.263157894736842,301
3.0,1.1052631578947367,1.3157894736842106,301
3.0,1.1052631578947367,1.368421052631579,169
3.0,1.1052631578947367,1.4210526315789473,161
3.0,1.1052631578947367,1.4736842105263157,301
3.0,1.1052631578947367,1.526315789473684,190
3.0,1.1052631578947367,1.5789473684210527,301
3.0,1.1052631578947367,1.631578947368421,281
3.0,1.1052631578947367,1.6842105263157894,301
3.0,1.1052631578947367,1.736842105263158,301
3.0,1.1052631578947367,1.7894736842105263,289
3.0,1.1052631578947367,1.8421052631578947,130
3.0,1.1052631578947367,1.894736842105263,152
3.0,1.1052631578947367,1.9473684210526314,301
3.0,1.1052631578947367,2.0,248
3.0,1.2105263157894737,1.0,59
3.0,1.2105263157894737,1.0526315789473684,211
3.0,1.2105263157894737,1.1052631578947367,301
3.0,1.2105263157894737,1.1578947368421053,111
3.0,1.2105263157894737,1.2105263157894737,188
3.0,1.2105263157894737,1.263157894736842,87
3.0,1.2105263157894737,1.3157894736842106,301
3.0,1.2105263157894737,1.368421052631579,301
3.0,1.2105263157894737,1.4210526315789473,182
3.0,1.2105263157894737,1.4736842105263157,210
3.0,1.2105263157894737,1.526315789473684,291
3.0,1.2105263157894737,1.5789473684210527,266
3.0,1.2105263157894737,1.631578947368421,301
3.0,1.2105263157894737,1.6842105263157894,229
3.0,1.2105263157894737,1.736842105263158,188
3.0,1.2105263157894737,1.7894736842105263,301
3.0,1.2105263157894737,1.8421052631578947,301
3.0,1.2105263157894737,1.894736842105263,109
3.0,1.2105263157894737,1.9473684210526314,38
3.0,1.2105263157894737,2.0,221
3.0,1.3157894736842106,1.0,274
3.0,1.3157894736842106,1.0526315789473684,88
3.0,1.3157894736842106,1.1052631578947367,301
3.0,1.3157894736842106,1.1578947368421053,270
3.0,1.3157894736842106,1.2105263157894737,301
3.0,1.3157894736842106,1.263157894736842,206
3.0,1.3157894736842106,1.3157894736842106,301
3.0,1.3157894736842106,1.368421052631579,130
3.0,1.3157894736842106,1.4210526315789473,213
3.0,1.3157894736842106,1.4736842105263157,219
3.0,1.3157894736842106,1.526315789473684,240
3.0,1.3157894736842106,1.5789473684210527,266
3.0,1.3157894736842106,1.631578947368421,240
3.0,1.3157894736842106,1.6842105263157894,212
3.0,1.3157894736842106,1.736842105263158,253
3.0,1.3157894736842106,1.7894736842105263,301
3.0,1.3157894736842106,1.8421052631578947,301
3.0,1.3157894736842106,1.894736842105263,103
3.0,1.3157894736842106,1.9473684210526314,276
3.0,1.3157894736842106,2.0,301
3.0,1.4210526315789473,1.0,301
3.0,1.4210526315789473,1.0526315789473684,161
3.0,1.4210526315789473,1.1052631578947367,301
3.0,1.4210526315789473,1.1578947368421053,111
3.0,1.4210526315789473,1.2105263157894737,301
3.0,1.4210526315789473,1.263157894736842,171
3.0,1.4210526315789473,1.3157894736842106,301
3.0,1.4210526315789473,1.368421052631579,301
3.0,1.4210526315789473,1.4210526315789473,146
3.0,1.4210526315789473,1.4736842105263157,125
3.0,1.4210526315789473,1.526315789473684,208
3.0,1.4210526315789473,1.5789473684210527,78
3.0,1.4210526315789473,1.631578947368421,120
3.0,1.4210526315789473,1.6842105263157894,232
3.0,1.4210526315789473,1.736842105263158,68
3.0,1.4210526315789473,1.7894736842105263,301
3.0,1.4210526315789473,1.8421052631578947,149
3.0,1.4210526315789473,1.894736842105263,88
3.0,1.4210526315789473,1.9473684210526314,288
3.0,1.4210526315789473,2.0,169
3.0,1.526315789473684,1.0,138
3.0,1.526315789473684,1.0526315789473684,301
3.0,1.526315789473684,1.1052631578947367,107
3.0,1.526315789473684,1.1578947368421053,87
3.0,1.526315789473684,1.2105263157894737,85
3.0,1.526315789473684,1.263157894736842,195
3.0,1.526315789473684,1.3157894736842106,256
3.0,1.526315789473684,1.368421052631579,301
3.0,1.526315789473684,1.4210526315789473,301
3.0,1.526315789473684,1.4736842105263157,301
3.0,1.526315789473684,1.526315789473684,301
3.0,1.526315789473684,1.5789473684210527,188
3.0,1.526315789473684,1.631578947368421,246
3.0,1.526315789473684,1.6842105263157894,301
3.0,1.526315789473684,1.736842105263158,231
3.0,1.526315789473684,1.7894736842105263,232
3.0,1.526315789473684,1.8421052631578947,141
3.0,1.526315789473684,1.894736842105263,301
3.0,1.526315789473684,1.9473684210526314,301
3.0,1.526315789473684,2.0,163
3.0,1.631578947368421,1.0,301
3.0,1.631578947368421,1.0526315789473684,59
3.0,1.631578947368421,1.1052631578947367,151
3.0,1.631578947368421,1.1578947368421053,91
3.0,1.631578947368421,1.2105263157894737,301
3.0,1.631578947368421,1.263157894736842,301
3.0,1.631578947368421,1.3157894736842106,108
3.0,1.631578947368421,1.368421052631579,301
3.0,1.631578947368421,1.4210526315789473,85
3.0,1.631578947368421,1.4736842105263157,113
3.0,1.631578947368421,1.526315789473684,262
3.0,1.631578947368421,1.5789473684210527,225
3.0,1.631578947368421,1.631578947368421,156
3.0,1.631578947368421,1.6842105263157894,301
3.0,1.631578947368421,1.736842105263158,271
3.0,1.631578947368421,1.7894736842105263,301
3.0,1.631578947368421,1.8421052631578947,130
3.0,1.631578947368421,1.894736842105263,263
3.0,1.631578947368421,1.9473684210526314,233
3.0,1.631578947368421,2.0,301
3.0,1.736842105263158,1.0,301
3.0,1.736842105263158,1.0526315789473684,153
3.0,1.736842105263158,1.1052631578947367,294
3.0,1.736842105263158,1.1578947368421053,211
3.0,1.736842105263158,1.2105263157894737,123
3.0,1.736842105263158,1.263157894736842,204
3.0,1.736842105263158,1.3157894736842106,301
3.0,1.736842105263158,1.368421052631579,182
3.0,1.736842105263158,1.4210526315789473,182
3.0,1.736842105263158,1.4736842105263157,49
3.0,1.736842105263158,1.526315789473684,65
3.0,1.736842105263158,1.5789473684210527,301
3.0,1.736842105263158,1.631578947368421,293
3.0,1.736842105263158,1.6842105263157894,141
3.0,1.736842105263158,1.736842105263158,182
3.0,1.736842105263158,1.7894736842105263,301
3.0,1.736842105263158,1.8421052631578947,301
3.0,1.736842105263158,1.894736842105263,164
3.0,1.736842105263158,1.9473684210526314,82
3.0,1.736842105263158,2.0,169
3.0,1.8421052631578947,1.0,301
3.0,1.8421052631578947,1.0526315789473684,53
3.0,1.8421052631578947,1.1052631578947367,195
3.0,1.8421052631578947,1.1578947368421053,301
3.0,1.8421052631578947,1.2105263157894737,253
3.0,1.8421052631578947,1.263157894736842,204
3.0,1.8421052631578947,1.3157894736842106,301
3.0,1.8421052631578947,1.368421052631579,158
3.0,1.8421052631578947,1.4210526315789473,165
3.0,1.8421052631578947,1.4736842105263157,195
3.0,1.8421052631578947,1.526315789473684,79
3.0,1.8421052631578947,1.5789473684210527,301
3.0,1.8421052631578947,1.631578947368421,239
3.0,1.8421052631578947,1.6842105263157894,301
3.0,1.8421052631578947,1.736842105263158,127
3.0,1.8421052631578947,1.7894736842105263,301
3.0,1.8421052631578947,1.8421052631578947,109
3.0,1.8421052631578947,1.894736842105263,119
3.0,1.8421052631578947,1.9473684210526314,104
3.0,1.8421052631578947,2.0,233
3.0,1.9473684210526314,1.0,183
3.0,1.9473684210526314,1.0526315789473684,301
3.0,1.9473684210526314,1.1052631578947367,291
3.0,1.9473684210526314,1.1578947368421053,218
3.0,1.9473684210526314,1.2105263157894737,71
3.0,1.9473684210526314,1.263157894736842,90
3.0,1.9473684210526314,1.3157894736842106,301
3.0,1.9473684210526314,1.368421052631579,211
3.0,1.9473684210526314,1.4210526315789473,231
3.0,1.9473684210526314,1.4736842105263157,231
3.0,1.9473684210526314,1.526315789473684,168
3.0,1.9473684210526314,1.5789473684210527,194
3.0,1.9473684210526314,1.631578947368421,160
3.0,1.9473684210526314,1.6842105263157894,301
3.0,1.9473684210526314,1.736842105263158,265
3.0,1.9473684210526314,1.7894736842105263,164
3.0,1.9473684210526314,1.8421052631578947,301
3.0,1.9473684210526314,1.894736842105263,301
3.0,1.9473684210526314,1.9473684210526314,129
3.0,1.9473684210526314,2.0,209
3.0,2.052631578947368,1.0,301
3.0,2.052631578947368,1.0526315789473684,126
3.0,2.052631578947368,1.1052631578947367,87
3.0,2.052631578947368,1.1578947368421053,104
3.0,2.052631578947368,1.2105263157894737,301
3.0,2.052631578947368,1.263157894736842,138
3.0,2.052631578947368,1.3157894736842106,71
3.0,2.052631578947368,1.368421052631579,101
3.0,2.052631578947368,1.4210526315789473,279
3.0,2.052631578947368,1.4736842105263157,171
3.0,2.052631578947368,1.526315789473684,301
3.0,2.052631578947368,1.5789473684210527,265
3.0,2.052631578947368,1.631578947368421,228
3.0,2.052631578947368,1.6842105263157894,301
3.0,2.052631578947368,1.736842105263158,88
3.0,2.052631578947368,1.7894736842105263,286
3.0,2.052631578947368,1.8421052631578947,301
3.0,2.052631578947368,1.894736842105263,301
3.0,2.052631578947368,1.9473684210526314,301
3.0,2.052631578947368,2.0,65
3.0,2.1578947368421053,1.0,80
3.0,2.1578947368421053,1.0526315789473684,67
3.0,2.1578947368421053,1.1052631578947367,78
3.0,2.1578947368421053,1.1578947368421053,148
3.0,2.1578947368421053,1.2105263157894737,71
3.0,2.1578947368421053,1.263157894736842,262
3.0,2.1578947368421053,1.3157894736842106,301
3.0,2.1578947368421053,1.368421052631579,301
3.0,2.1578947368421053,1.4210526315789473,301
3.0,2.1578947368421053,1.4736842105263157,175
3.0,2.1578947368421053,1.526315789473684,301
3.0,2.1578947368421053,1.5789473684210527,191
3.0,2.1578947368421053,1.631578947368421,214
3.0,2.1578947368421053,1.6842105263157894,301
3.0,2.1578947368421053,1.736842105263158,190
3.0,2.1578947368421053,1.7894736842105263,118
3.0,2.1578947368421053,1.8421052631578947,269
3.0,2.1578947368421053,1.894736842105263,173
3.0,2.1578947368421053,1.9473684210526314,143
3.0,2.1578947368421053,2.0,301
3.0,2.263157894736842,1.0,285
3.0,2.263157894736842,1.0526315789473684,301
3.0,2.263157894736842,1.1052631578947367,246
3.0,2.263157894736842,1.1578947368421053,301
3.0,2.263157894736842,1.2105263157894737,301
3.0,2.263157894736842,1.263157894736842,237
3.0,2.263157894736842,1.3157894736842106,37
3.0,2.263157894736842,1.368421052631579,167
3.0,2.263157894736842,1.4210526315789473,301
3.0,2.263157894736842,1.4736842105263157,290
3.0,2.263157894736842,1.526315789473684,135
3.0,2.263157894736842,1.5789473684210527,301
3.0,2.263157894736842,1.631578947368421,264
3.0,2.263157894736842,1.6842105263157894,301
3.0,2.263157894736842,1.736842105263158,192
3.0,2.263157894736842,1.7894736842105263,77
3.0,2.263157894736842,1.8421052631578947,301
3.0,2.263157894736842,1.894736842105263,301
3.0,2.263157894736842,1.9473684210526314,301
3.0,2.263157894736842,2.0,236
3.0,2.3684210526315788,1.0,301
3.0,2.3684210526315788,1.0526315789473684,301
3.0,2.3684210526315788,1.1052631578947367,301
3.0,2.3684210526315788,1.1578947368421053,186
3.0,2.3684210526315788,1.2105263157894737,140
3.0,2.3684210526315788,1.263157894736842,191
3.0,2.3684210526315788,1.3157894736842106,210
3.0,2.3684210526315788,1.368421052631579,213
3.0,2.3684210526315788,1.4210526315789473,294
3.0,2.3684210526315788,1.4736842105263157,152
3.0,2.3684210526315788,1.526315789473684,301
3.0,2.3684210526315788,1.5789473684210527,99
3.0,2.3684210526315788,1.631578947368421,225
3.0,2.3684210526315788,1.6842105263157894,250
3.0,2.3684210526315788,1.736842105263158,126
3.0,2.3684210526315788,1.7894736842105263,200
3.0,2.3684210526315788,1.8421052631578947,301
3.0,2.3684210526315788,1.894736842105263,222
3.0,2.3684210526315788,1.9473684210526314,117
3.0,2.3684210526315788,2.0,301
3.0,2.473684210526316,1.0,107
3.0,2.473684210526316,1.0526315789473684,292
3.0,2.473684210526316,1.1052631578947367,131
3.0,2.473684210526316,1.1578947368421053,227
